mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
7359.18,10312.15,14960.33,3079.38,3146.67,3129.64,3165.32,7621.68,4526.98
8305.11,9175.27,15515.96,3136.25,3078.75,3514.80,3141.88,7559.18,3320.68
9467.04,10053.35,15303.30,3402.87,3303.49,3143.60,3313.13,8040.43,3308.13
4613.86,11696.11,15621.69,3103.13,3319.22,3464.22,3233.13,7658.19,3164.95
5316.67,9703.35,17016.17,3162.71,3140.06,3161.67,3164.74,7592.25,3354.33
4902.77,9508.45,15559.13,3071.05,3151.41,3157.66,3516.62,7668.34,3133.70
4929.33,11168.35,15799.92,3143.39,3120.73,3277.14,3130.79,7797.98,3356.67
6059.38,10005.64,16047.00,3268.81,3226.93,3227.56,3251.98,7438.86,3434.59
6480.79,9310.12,16109.34,3130.11,3469.59,3202.50,3363.96,7602.56,3219.07
6196.62,9948.66,15132.36,3108.29,3156.46,3130.58,3168.75,7485.32,3398.13
6605.48,9328.08,14862.83,3135.73,3150.37,3076.98,3362.40,7274.23,3136.36
7080.84,9296.68,15554.60,3156.88,3071.20,3349.69,3283.81,7842.30,3179.02
7365.79,10240.33,14989.08,3311.41,3253.18,3152.76,3101.72,7853.81,3325.16
7330.95,9745.01,16682.37,3142.45,3537.66,3484.33,3385.47,7848.45,3220.73
6555.74,10040.27,14712.47,3534.69,3211.67,3175.79,3106.36,7626.83,3279.12
6684.90,9332.41,14967.99,3133.18,3587.71,3120.89,3086.41,7637.67,3213.60
6915.32,9993.97,14795.28,3128.75,3270.47,3597.87,3268.49,7674.07,3143.60
6124.64,9588.40,15286.79,3588.55,3118.86,3122.24,3132.30,7335.32,3528.08
6137.14,9288.55,15516.89,3073.13,3375.73,3182.50,3338.65,7713.86,3094.95
5020.32,10092.31,15396.63,3362.14,3161.20,3233.08,3163.86,7690.74,3164.02
5550.89,9948.45,15222.78,3118.81,3184.12,3142.19,3502.97,7172.67,3138.08
5051.41,11686.89,15002.68,3132.66,3215.47,3429.01,4564.17,7861.26,3058.70
4517.40,10131.26,17565.65,3266.62,3147.40,3123.81,3352.19,7573.86,3378.08
4669.95,9416.73,15753.09,3127.82,3392.24,5109.43,3167.04,7734.28,3171.77
4822.40,10098.50,15836.63,3473.96,3289.43,3404.22,3126.46,7577.82,3223.23
5919.54,9325.43,15762.78,3166.20,3523.70,3339.33,3126.51,7406.42,3151.88
5089.38,9639.18,15723.98,3093.08,3198.70,3159.38,3249.69,7868.40,3161.88
5391.57,10302.67,15946.06,3332.50,4648.39,3336.46,3257.45,7677.56,3680.99
5472.14,9895.43,14988.14,4311.26,3205.99,3153.65,3243.91,6981.68,3765.37
5320.01,10084.60,15008.93,3358.23,3154.95,3212.92,3111.15,7474.28,3439.48
5314.33,9691.52,15790.90,3131.10,3362.56,3478.18,3519.17,7836.73,3178.60
5498.29,10169.91,16564.29,3489.33,3263.44,3184.59,3249.33,7449.54,3260.84
4897.09,9885.27,15531.32,3083.75,3347.71,3329.64,3248.91,7467.09,3189.80
5279.33,10117.57,15422.47,3123.18,3150.06,3207.04,3270.79,7446.26,3185.94
5505.48,10017.77,14769.08,3253.86,3135.37,3147.40,3300.63,7349.70,3448.91
5493.39,10178.45,15251.89,3138.91,3097.14,3280.32,3138.18,7315.58,3140.84
7199.38,9483.61,15477.52,3254.59,3260.63,3126.62,3241.41,7378.29,4629.28
5190.74,9894.13,15720.75,3089.74,3371.05,3143.96,3273.55,7295.95,3252.30
5554.33,9274.34,15615.18,3124.64,3401.36,3123.81,3194.38,8565.95,3340.21
5152.77,11805.59,15951.84,3480.26,3304.38,3206.31,3339.69,7774.54,3235.42
5613.86,9909.49,17057.21,3155.73,3324.90,3520.79,3066.93,7455.37,3124.38
5501.67,9525.27,15345.38,3382.92,3328.96,3120.79,3273.39,7604.91,3530.89
5026.78,9310.43,15133.25,3083.96,3809.33,3153.44,3236.46,7735.64,3229.22
4941.41,9276.94,15034.19,3151.31,3505.00,3115.06,3173.34,7343.29,3380.89
5382.09,9643.61,15105.70,3251.31,3391.25,3064.64,3358.75,7668.34,3240.42
5328.55,9926.11,14877.10,3127.45,3723.44,3148.23,3060.37,7387.15,3115.16
5530.58,9483.81,17333.04,3470.79,3284.69,3390.42,3288.29,7416.57,3329.22
5714.17,8991.42,14861.37,3171.15,3376.31,3156.05,3368.91,7384.07,3250.58
5302.09,9630.48,15022.88,3093.18,3947.14,3427.97,3121.31,7769.59,3199.43
5059.90,9833.24,17155.59,3376.25,3194.54,3159.33,3168.03,7614.91,3232.92
5203.86,9288.45,15462.68,3130.47,3365.11,3245.79,3057.66,7357.51,3078.23
5205.63,10077.30,15732.05,3249.85,3112.50,3639.90,3241.67,7700.11,3367.82
5282.35,9435.43,15516.95,3146.78,3360.53,3186.10,3400.58,7734.54,3295.47
5500.32,10048.76,15848.14,3073.18,3214.48,3376.72,3159.74,7733.03,3362.24
5195.06,9434.65,16242.36,3524.54,3147.14,3175.58,3562.09,7210.53,3202.92
5651.67,9154.13,15158.09,3118.49,3648.23,3075.26,3224.22,7632.61,3193.03
8957.25,9812.98,15234.71,3226.46,3269.22,3532.56,4554.02,7395.37,3059.48
6349.49,11923.45,14865.28,3162.35,3369.90,3119.74,3350.16,6784.38,3149.22
6933.86,9657.51,16398.61,3091.15,3159.95,3195.27,3119.38,6853.76,3407.14
6596.73,9701.47,15006.16,3237.87,3177.71,4578.50,3318.49,6614.02,3123.65
5435.16,9639.86,15479.24,3150.37,3107.66,3500.42,3197.30,6704.28,3121.62
5127.04,9512.98,16100.49,3140.42,3204.22,3238.60,3528.96,7236.00,3077.66
5032.30,9511.99,15661.01,3067.35,4653.60,3053.91,3207.61,6887.61,3138.91
5572.14,9504.70,15247.31,4654.22,3296.52,3131.78,3101.88,7085.89,3249.74
4931.26,10225.38,15798.25,3367.30,3455.16,3400.99,3355.94,6433.55,3202.71
5329.28,9300.22,16779.71,3075.89,3158.23,3146.41,3264.17,7091.94,3595.99
5591.88,9574.96,15591.53,3385.00,3257.24,3098.86,3221.51,6859.59,3210.06
5321.73,10000.90,16946.17,3120.53,3077.45,3104.17,3274.02,6547.46,3190.73
4807.25,9117.98,15006.69,3213.13,3142.87,3258.70,3129.28,6937.56,3674.22
5318.97,9804.39,15911.95,3092.66,3266.93,3831.62,4057.66,6623.81,3190.16
