mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
3978.75,7864.13,18466.71,3578.38,3951.50,5139.25,3865.25,15358.08,3881.04
3920.75,7395.79,18285.00,3407.25,3984.17,3583.88,3483.25,15437.67,3773.38
3708.42,7614.46,18636.92,3908.00,4081.88,4312.13,3766.96,17370.71,3611.33
3987.42,7532.58,19673.17,3691.38,3603.00,3547.33,3499.21,17448.13,3546.25
3722.04,7295.00,19104.71,3444.42,3811.33,3486.67,3803.38,18685.88,3968.88
3872.38,7354.04,18902.25,3727.67,3886.54,3506.42,3897.38,15801.63,3990.00
3909.21,7526.00,19433.67,3795.33,3802.79,3435.25,3622.38,16690.75,3659.75
3761.83,7418.63,18332.63,3579.33,3748.96,3506.54,3835.67,15854.54,3648.42
3534.67,8090.58,19562.96,3853.00,5005.50,4127.50,3648.50,15670.71,3959.04
3903.58,7758.83,19316.83,3604.63,3641.04,3451.63,3658.00,15683.38,3893.54
4308.25,7155.79,18558.21,3800.88,3801.38,3753.33,3537.50,15795.29,3844.75
3983.17,7122.67,18015.58,3697.96,3564.42,3618.46,3599.04,15948.96,4068.17
3892.63,7186.21,31321.29,3749.58,3559.50,4171.21,3541.46,15565.71,3808.92
3503.58,7313.63,18666.42,3587.25,4229.29,3754.21,3689.17,15288.75,4206.17
3572.54,7426.50,19077.29,3824.58,4028.00,3513.42,3537.63,15962.38,3949.17
4132.00,7777.96,18444.75,3529.04,3535.00,3880.04,3851.13,16671.29,3815.96
4090.38,7289.58,18173.58,3813.71,3562.29,4390.08,3640.08,15234.96,3869.96
3676.92,7171.96,18524.50,3924.38,3775.88,3377.21,3673.42,16754.38,4124.83
3526.21,7100.21,17558.33,3642.46,3548.00,3956.33,3832.58,15241.29,3732.88
4384.46,7342.25,17918.83,3885.92,3555.83,3933.75,3695.79,14878.21,3774.25
3947.17,7630.42,17961.25,3652.58,4186.54,3517.04,3567.29,15486.42,3914.21
4409.63,7294.54,17704.96,3655.75,3522.13,3545.13,3614.63,15944.50,3801.71
3904.83,7109.08,18166.75,3523.42,3684.50,3843.00,3661.33,16249.29,3685.88
4119.63,7158.21,18004.00,3627.38,4047.21,3479.83,3557.42,16127.92,3760.67
3558.42,7135.92,17583.54,3540.50,3860.92,3943.54,3558.75,19539.38,3655.79
4097.96,7043.33,18561.83,3662.25,3986.75,3508.71,3513.29,15829.38,3706.25
4421.17,7157.21,20117.33,3891.54,3725.38,3476.25,3528.33,15500.71,3787.96
3889.38,7339.33,19384.21,3579.54,3783.38,3645.83,3518.92,15660.08,3866.08
3768.75,7060.42,19682.50,3480.17,3501.96,3436.25,3560.38,15993.96,3775.29
3947.04,7263.29,19710.00,3859.67,3463.08,3570.25,3568.83,15863.17,3798.33
4023.04,7053.88,21487.88,3836.50,3802.17,3695.58,3585.21,15925.67,3584.21
4098.17,7131.50,18793.50,3654.00,3647.04,3537.25,3784.58,16181.71,4028.96
3804.38,7246.88,19435.46,3495.63,3810.96,3490.38,3706.63,15876.63,3729.67
4051.71,7114.17,18806.08,3805.92,4434.00,4856.58,3523.92,15451.79,3870.67
3924.63,6803.25,18013.38,3529.58,3546.38,4371.50,3604.63,15935.00,3847.96
3627.04,6881.92,17697.50,3662.17,3883.88,4040.79,3509.46,15534.46,3762.63
3553.25,7112.04,18164.96,3686.83,3544.08,3358.00,3579.58,16045.00,3941.38
3834.88,7496.67,17899.25,3582.79,3506.25,3374.83,3499.08,16233.38,3717.29
3562.71,7224.71,18080.96,3627.25,4297.33,4000.33,3599.29,15784.75,3796.33
3676.13,7291.92,17707.92,3998.13,3522.13,3620.67,15170.29,16033.88,3714.29
4110.04,7534.29,17730.83,3631.08,3826.58,3685.46,3858.38,16038.75,3985.75
3561.75,7484.38,17824.33,3577.04,3731.88,3706.58,3678.13,16357.29,4146.42
3830.33,7681.42,17676.75,3786.25,3446.75,4144.50,3608.58,17027.63,4004.83
4096.88,7248.67,17649.92,4181.96,3672.79,3513.00,3813.13,17966.13,3827.50
3595.63,7314.04,18059.71,3662.96,3635.58,3566.29,3587.17,17618.29,4073.88
3857.67,7107.88,18109.63,3620.00,3553.38,4077.17,3809.54,16202.42,3772.54
3830.38,7179.63,18032.71,3741.67,3585.38,4304.63,3873.17,16428.33,3614.00
3545.92,7364.29,17658.04,3644.17,3501.63,3520.67,3971.04,15854.21,3693.88
3568.67,7104.00,17869.04,3647.50,3851.17,3491.58,3827.00,15822.71,3616.29
4224.83,7240.21,24123.13,3675.13,4257.46,4188.04,4128.25,15949.21,3743.17
4339.54,7599.33,17869.21,3534.83,3822.83,3808.38,3822.08,15989.67,3592.21
4051.58,7302.42,17648.63,3988.71,3888.92,3520.04,3767.79,15782.08,3768.88
3800.17,7226.79,18206.21,3733.96,3755.33,3583.88,3654.50,15784.96,3612.13
4036.17,7285.83,17744.67,3867.08,3687.79,4482.42,3743.17,16116.71,3676.08
4050.88,6906.96,18329.13,3647.25,3709.25,3419.04,3647.42,16597.79,3599.38
4001.46,7170.58,18957.46,3610.42,4057.88,3589.71,3700.75,16532.29,3753.08
3923.92,7071.00,18126.50,3850.67,3615.88,3484.08,3629.46,15879.38,3703.25
4014.46,7748.21,18593.04,4142.88,3548.21,3455.13,3755.79,16740.58,3876.13
4116.79,7013.46,17767.63,3777.71,3888.58,7416.63,3843.54,15782.96,3687.25
4015.21,7360.04,17825.21,3778.58,3696.79,3450.00,3715.33,15513.83,3583.17
4077.92,7428.46,17738.58,3800.46,3630.42,3467.38,3519.04,16317.79,3645.08
4069.21,7224.79,17854.38,3748.71,3799.96,3796.04,3606.21,15142.67,3574.38
4312.25,7101.92,18109.54,3613.46,4118.46,3666.79,3503.67,15650.08,3676.71
4930.04,7128.83,17546.67,3883.46,3759.83,4001.33,3652.29,15967.75,3493.04
3599.50,7301.04,17809.88,3892.96,3788.96,3406.63,3516.50,15898.88,3852.54
3689.00,7183.29,18723.08,3507.83,3643.92,3754.54,3559.92,15452.33,3667.54
4958.63,7236.50,30242.75,3554.21,3632.13,3636.75,3418.75,16377.04,3693.75
3801.17,7381.38,19003.21,3938.75,3381.08,3438.50,3586.29,15898.67,3630.54
4109.04,7159.54,18999.92,3956.83,3406.29,3852.79,3540.83,16276.46,3659.46
3783.00,6863.96,18523.54,3666.42,3992.46,3445.08,3581.63,16790.00,3584.38
3815.54,7137.92,19106.17,4311.21,3613.08,3430.29,3442.38,15658.46,3752.21
4226.54,6956.71,19586.38,4020.25,3499.21,17987.04,3873.38,15468.50,3767.63
3711.79,6752.88,18466.83,3851.17,3682.79,3858.92,3473.71,15544.67,3633.04
3989.96,7318.04,19155.33,3863.13,3961.54,3794.92,3524.96,15243.00,3549.96
