mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
105.94,218.50,509.94,112.92,112.54,109.69,103.96,635.40,108.96
112.07,443.15,515.84,113.79,115.68,101.83,105.58,607.67,105.09
105.32,216.27,514.60,117.13,116.26,106.81,104.74,604.89,285.61
235.13,215.18,517.81,114.89,116.10,103.59,104.84,598.09,110.13
152.26,219.65,512.06,111.53,111.02,106.99,103.25,1754.19,105.53
109.88,217.37,517.12,113.36,114.37,330.31,110.61,903.81,103.39
107.96,215.31,514.38,113.06,110.45,108.06,104.05,613.84,102.77
109.32,217.30,515.42,112.69,114.82,103.77,104.41,1152.05,102.30
417.45,220.39,513.68,112.42,110.81,102.87,104.36,1045.33,102.53
149.12,230.60,687.30,113.75,114.32,103.62,103.92,643.29,103.58
106.98,222.70,510.74,114.34,110.34,105.42,104.29,696.79,109.84
106.02,222.11,507.64,118.67,347.51,103.82,103.48,581.74,105.78
106.78,221.72,508.98,113.83,114.84,109.71,104.38,626.78,107.46
104.69,231.90,506.93,113.18,113.82,104.81,104.72,630.47,106.58
104.10,226.02,516.28,115.22,114.03,106.24,104.91,605.18,106.45
107.01,223.16,550.05,117.28,112.40,103.81,339.85,845.42,106.07
107.34,215.75,554.37,114.08,113.21,104.96,107.63,581.80,105.90
117.99,217.07,540.28,114.82,117.98,105.17,103.52,1231.80,107.33
105.26,451.89,517.53,115.12,113.99,105.74,103.31,1052.92,105.91
114.80,221.24,520.08,113.77,113.49,105.77,104.05,733.35,109.78
106.06,219.18,547.00,332.41,114.34,106.93,103.60,776.01,107.11
110.17,226.09,512.69,113.80,112.81,105.22,103.79,782.55,106.13
104.48,493.96,513.35,113.49,112.37,109.84,125.28,738.41,106.47
111.99,232.84,519.27,113.54,111.81,106.29,105.91,708.26,106.91
104.80,226.24,658.61,112.29,112.87,105.61,104.72,1226.33,106.66
109.79,234.12,507.93,112.45,113.63,104.42,104.51,1688.35,105.86
111.89,221.01,502.21,112.69,118.05,103.70,104.71,910.68,266.72
105.59,220.03,508.25,119.77,114.68,104.73,104.01,647.54,125.38
111.76,220.65,505.73,113.10,112.05,103.60,103.60,1113.05,111.38
105.25,230.57,728.69,113.04,113.57,105.81,104.71,708.33,105.93
110.80,225.51,514.61,113.53,113.47,105.94,105.42,728.94,107.80
109.08,225.50,850.77,114.52,112.57,112.62,104.04,568.32,106.35
111.35,221.47,510.05,333.17,113.08,103.87,109.23,1094.74,107.47
106.68,453.62,516.21,147.91,113.10,105.82,106.18,1153.63,105.28
113.44,236.74,507.23,115.85,113.56,105.61,105.42,620.42,106.84
118.88,222.38,507.59,116.33,117.77,104.22,104.55,662.93,105.84
112.30,218.44,510.96,114.41,115.01,103.91,106.01,593.30,108.32
