mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
18539.30,18359.80,18397.10,18423.90,18336.10,18410.70,18377.00,90.40,18515.20
18510.80,18433.30,18388.70,18571.30,18339.80,18452.60,18600.40,89.90,18581.40
18558.80,18425.60,18610.00,18642.00,18310.40,18457.30,18782.20,121.00,18623.80
18497.30,18408.70,18450.20,18476.00,18357.00,18454.10,18670.50,92.60,19093.00
18549.60,18377.10,18426.20,18463.20,18600.30,18870.90,18602.30,90.80,18442.30
18400.10,18458.20,18356.40,18457.00,18751.20,18622.40,18737.90,90.40,18523.50
18367.60,18426.40,18389.30,18466.80,19240.20,18572.40,18513.60,92.00,19206.90
18496.30,18750.00,18393.50,18461.10,18624.90,18763.30,18440.60,90.90,18633.00
18666.10,18519.50,18435.40,18510.10,18363.60,18821.90,18782.90,90.30,18599.20
18549.00,18465.70,18423.10,18505.60,18345.40,18759.40,18626.40,90.10,20377.90
18569.90,18428.50,18493.00,18473.50,18317.60,18585.50,18634.20,90.60,18470.60
18598.50,18525.20,18686.40,19169.70,18392.70,18470.20,18496.30,90.40,18516.40
18569.80,18468.80,18625.20,18519.40,18363.30,18490.90,18474.30,89.70,18520.40
18598.90,18678.60,18578.30,18437.40,18384.00,18490.10,18544.40,102.60,18460.90
18545.10,18560.90,18414.70,18458.00,18358.00,18496.20,18600.00,93.20,18507.00
18720.10,18576.80,19543.80,18420.10,18316.30,18649.40,18578.30,90.60,18483.90
18496.40,18427.80,18691.20,18618.10,18378.30,18506.30,18618.40,90.20,18452.10
18694.80,18444.80,18515.00,18616.20,18317.60,18504.50,18506.10,90.00,18441.40
19216.30,18386.20,18519.40,18458.60,18333.40,18477.20,18476.80,91.20,18663.60
18488.00,18379.20,18504.00,18370.80,18351.70,18511.40,18531.80,89.60,18501.10
18472.20,18478.00,18555.20,18400.90,18459.60,18559.10,18666.70,89.30,18461.60
18494.10,18478.30,18552.20,18426.10,18418.60,18912.80,18689.40,89.40,18452.30
18426.70,18387.00,18517.00,18424.60,18625.80,18520.40,18769.80,90.90,18429.50
18419.10,18385.00,18530.70,18690.00,18413.10,18496.60,18579.40,90.30,18415.00
18399.50,18364.30,18630.10,18429.90,18493.90,18496.60,18527.50,102.10,18598.90
18437.90,18352.30,18532.60,18412.20,18504.50,18491.40,18552.80,91.20,18509.20
18438.20,18346.00,18621.10,18406.10,18372.10,18474.80,18467.30,90.70,18454.30
18426.70,18361.40,18589.50,18382.90,18488.40,18525.30,18454.50,90.20,18437.90
18477.00,18329.10,18536.30,18376.60,18434.10,18471.60,18598.70,91.00,18429.40
18424.90,18571.40,18527.40,18472.90,18380.00,18582.30,18471.00,90.10,18423.60
18412.30,18972.20,18683.50,18375.60,18356.50,18579.60,18813.70,90.30,18434.00
18547.90,18819.20,18435.10,18435.00,18399.40,18580.50,18639.90,89.60,18416.90
18409.80,18762.60,18443.50,18452.40,18959.80,18529.80,18489.80,89.50,18557.40
18839.80,18578.20,18415.40,18398.70,18409.20,18511.00,18469.00,90.40,18422.00
18544.70,18749.90,18649.30,18446.60,18369.40,18479.60,18425.40,90.70,18472.90
19038.40,18541.80,18511.10,18642.50,18339.40,18446.00,18462.70,100.20,18440.70
18903.50,18523.70,18513.80,18565.60,18571.60,18776.30,18414.60,90.70,18412.00
19019.90,18473.00,18454.10,18538.40,18487.40,18452.40,18996.50,89.40,18484.60
18842.00,18458.10,18477.30,18539.70,18418.50,18584.90,18560.30,91.30,18500.80
18487.50,18445.40,18450.50,18588.80,18340.30,18489.00,18481.40,90.60,18477.50
18724.70,18453.40,18471.50,18498.50,18355.20,18464.40,18464.50,90.50,18916.60
19506.80,18591.50,18419.40,18499.30,19815.80,18486.90,18493.90,90.40,19920.40
18591.60,18548.30,18399.20,18484.60,18552.70,18492.40,18462.50,91.20,41268.30
18569.20,18583.90,18403.70,18464.90,18601.00,18477.80,18476.80,90.50,24622.10
18576.40,18495.70,18439.40,18496.10,18471.10,18492.70,18442.40,89.50,18501.50
18671.10,18524.80,18415.80,18480.90,18512.40,18467.50,18420.50,93.40,18614.30
18752.30,18608.50,18425.50,18470.90,18563.20,18466.00,18494.40,101.90,18627.40
18529.20,18554.30,18405.70,18447.20,18472.70,18495.50,18455.60,91.40,18580.20
18449.20,18474.90,18406.70,18466.30,18503.90,18463.40,18450.20,89.70,18635.80
18454.50,18752.10,18425.80,18494.80,18513.70,18663.90,18449.40,89.70,18470.40
18462.20,18391.60,18401.30,18611.20,18715.80,18492.00,18474.90,91.20,18475.60
18435.30,18481.70,18600.20,18494.10,18436.60,18440.50,18492.20,89.60,18578.80
18574.50,18502.00,18425.50,18498.30,18654.10,18466.00,18435.10,89.50,18561.20
18567.70,18513.20,18438.70,18549.10,18573.40,18460.00,18433.90,90.00,18578.40
18514.80,18537.20,18426.30,18471.90,18447.50,18481.60,18427.80,259.70,18554.20
18476.40,18552.30,18420.00,18453.40,18456.30,18732.90,18425.70,125.00,18507.30
18503.80,18553.30,18434.00,18795.20,18429.20,18865.80,18483.10,95.30,18512.30
18500.50,18556.00,18407.30,18708.60,18386.60,19005.70,18460.20,92.60,18542.30
18467.50,18484.10,18528.50,18589.50,18457.40,18931.20,18531.50,92.50,18771.00
18452.40,18440.90,18422.80,18463.70,18432.70,18993.30,18612.40,91.20,18567.50
18496.40,18608.20,18394.40,18469.90,18410.10,19048.30,18501.40,91.30,18493.50
18418.00,19637.30,18508.10,18451.80,18415.70,18695.30,18731.70,90.80,18451.50
