mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
226.52,457.53,856.50,185.45,186.21,186.77,181.91,841.00,179.39
238.04,452.94,857.62,182.58,181.45,187.88,185.35,1372.49,178.38
241.56,540.61,924.72,182.95,181.86,180.70,179.78,794.94,178.46
233.39,453.90,846.45,182.21,182.43,181.67,182.19,834.92,177.11
230.59,447.71,849.14,185.65,191.91,181.97,180.92,1407.42,178.03
234.10,452.88,859.96,293.22,184.73,185.97,180.89,1404.97,180.99
335.66,445.98,947.07,184.30,182.94,189.47,179.93,1512.86,179.61
235.26,452.19,841.99,186.70,181.92,182.57,179.76,1304.40,180.20
228.31,444.22,832.88,181.42,183.16,180.92,180.71,1053.31,176.88
241.58,453.53,852.83,184.98,183.61,182.16,184.86,962.08,176.64
543.58,445.90,842.70,181.69,189.09,181.29,186.04,768.60,282.71
205.68,545.59,933.58,181.28,182.51,294.67,182.19,784.55,180.06
195.55,449.10,825.19,181.52,181.76,184.31,186.33,822.06,174.30
214.93,451.45,820.09,182.92,182.15,183.03,181.26,1331.38,175.19
203.27,446.01,810.74,184.50,181.50,181.83,284.24,795.58,177.01
196.22,455.77,836.91,189.88,185.89,181.99,185.77,816.80,173.75
198.30,449.50,909.42,182.67,187.68,186.22,182.11,1357.41,179.66
197.02,445.33,803.31,182.24,186.62,182.04,185.06,837.50,177.66
200.25,458.75,802.72,180.88,183.05,181.81,180.77,1308.04,174.73
197.05,446.50,805.03,180.84,182.18,180.78,184.22,837.56,176.53
195.94,540.03,800.42,185.06,290.93,181.76,180.57,780.35,175.97
197.97,445.43,902.30,189.65,187.98,187.47,180.85,801.28,179.90
199.69,453.14,802.77,182.79,182.06,183.13,181.39,899.52,177.90
299.80,450.10,805.49,185.86,182.45,181.01,179.70,821.87,176.28
200.29,453.98,808.46,183.26,184.29,181.60,180.61,882.03,175.10
197.94,453.45,898.77,184.57,191.51,181.05,185.25,811.73,175.45
197.24,453.18,800.89,291.96,184.88,181.49,182.30,833.38,175.85
196.16,445.58,802.21,183.76,181.04,189.55,181.56,1489.08,180.82
201.69,445.76,804.23,186.39,180.85,181.59,185.10,1024.84,175.86
196.01,684.47,816.83,182.61,181.75,181.99,181.76,1095.94,176.09
194.80,459.70,902.10,313.63,183.67,181.53,184.97,1409.02,178.18
195.29,452.65,800.93,190.19,186.71,182.62,188.06,883.00,174.67
196.58,456.45,799.26,183.37,182.47,291.36,182.12,762.21,281.96
200.75,447.95,806.25,182.42,180.28,188.09,181.32,793.59,180.39
197.73,450.85,808.76,182.35,180.98,184.33,181.08,1072.33,175.73
196.00,454.42,903.61,184.76,181.98,183.02,181.46,804.44,174.63
195.21,446.76,799.56,184.37,185.55,183.92,288.44,765.18,173.85
195.80,456.19,946.82,181.55,191.17,187.82,184.61,1239.86,175.56
203.09,446.71,805.95,186.59,180.98,185.74,181.05,804.85,179.89
196.63,457.20,816.24,182.34,182.54,181.83,181.18,1249.55,174.30
194.79,449.83,908.65,183.34,182.24,180.76,181.44,766.25,175.25
198.65,453.23,802.72,190.32,187.43,185.84,184.93,1236.10,175.33
195.57,451.33,798.37,182.57,291.72,187.11,181.08,1106.44,174.48
396.54,447.93,799.11,182.65,182.94,189.03,181.66,1056.03,177.83
200.27,453.42,810.57,183.78,182.88,186.24,184.67,783.98,174.33
196.18,448.02,906.09,183.47,184.44,185.06,179.81,904.11,175.87
195.36,548.32,803.81,289.71,190.04,182.67,184.05,844.86,175.15
199.60,451.00,798.72,187.92,184.87,183.96,180.60,1297.14,175.55
197.59,454.36,807.13,183.97,180.87,189.08,179.43,1137.85,173.75
196.61,454.45,805.05,185.25,181.21,182.17,179.99,1042.30,177.11
197.78,452.46,898.81,180.68,181.74,182.28,180.88,771.57,174.71
197.04,445.83,803.34,187.20,182.72,184.79,180.66,778.02,177.98
201.27,454.62,793.36,183.59,186.55,182.85,185.32,1307.55,177.62
198.58,451.38,806.23,180.27,185.32,290.50,183.11,841.20,175.39
196.01,539.86,899.11,180.88,183.96,190.56,183.92,843.36,175.75
198.16,450.69,811.23,180.05,182.35,182.17,181.03,823.62,286.66
193.78,450.75,798.70,184.60,181.32,182.13,183.18,757.40,174.93
198.09,450.15,795.84,183.89,189.08,181.71,285.15,997.47,176.07
194.12,453.50,801.72,181.61,187.54,201.82,184.66,825.66,174.54
193.57,453.06,900.42,180.62,186.41,185.49,181.93,776.21,176.02
194.48,452.62,809.35,182.06,187.56,182.59,184.56,791.04,178.78
196.90,456.45,794.52,180.84,305.76,183.82,179.85,1333.38,175.54
295.46,445.17,801.11,190.35,310.40,183.01,185.43,1116.91,176.44
199.05,620.48,805.64,182.28,189.41,186.27,182.17,771.78,175.42
195.07,444.75,804.59,182.00,184.05,183.94,182.18,791.35,174.32
194.88,455.99,810.03,188.96,184.59,182.50,181.55,763.88,178.09
193.84,444.75,802.78,181.12,186.62,183.41,179.69,846.56,174.93
201.28,450.41,805.75,285.77,187.55,182.89,184.13,850.59,178.98
194.61,446.30,804.49,187.20,184.22,182.47,182.79,881.81,177.33
