n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
300,80,188.00,5.55,183.33,198.29,181.93,1.96,180.58,186.04,23.40,0.80,22.79,32.71,18.59,0.87,17.83,28.96,65.02,3.21,62.50,97.21,114.67,131.59,57.83,764.88,31.70,5.22,24.13,63.08,107.50,108.67,59.63,606.29,39.61,7.53,26.29,72.21
400,80,313.25,1.39,312.38,316.17,319.90,4.60,315.46,330.33,32.63,1.71,30.96,44.08,24.62,1.37,23.75,34.04,80.52,2.74,79.38,134.58,112.51,122.63,63.17,692.63,37.96,6.34,29.83,78.25,115.68,112.14,61.38,657.38,48.54,6.86,35.25,79.92
500,80,496.54,15.56,487.13,537.96,500.70,34.67,485.83,593.88,40.29,2.38,38.63,52.54,30.52,0.54,30.13,38.54,111.43,10.05,106.50,265.50,123.03,126.36,68.96,704.67,47.01,7.76,37.21,88.50,145.75,130.60,76.96,716.96,50.29,5.98,40.79,98.21
600,80,713.43,39.60,687.92,816.38,696.63,20.56,687.79,754.54,49.96,2.40,47.63,66.75,38.10,1.20,37.08,49.17,505.64,21.35,491.38,713.04,130.84,140.58,71.88,802.92,51.27,6.26,42.00,92.42,131.96,122.49,74.13,740.00,61.86,9.38,45.92,116.79
700,80,971.63,34.84,950.25,1062.08,974.52,23.37,947.04,1009.63,59.54,3.16,56.13,77.25,46.47,1.57,44.88,58.50,542.83,27.03,527.54,805.29,156.38,143.51,77.54,818.04,90.72,65.69,48.71,493.58,143.32,128.28,83.63,716.79,65.28,7.32,56.13,140.00
800,80,1254.19,27.07,1238.63,1310.92,1299.87,117.14,1246.79,1625.79,66.31,1.67,64.75,80.71,53.07,2.22,50.63,74.21,591.04,33.20,576.46,869.13,153.65,148.82,80.42,796.96,63.37,10.50,52.63,145.38,149.22,131.15,84.50,741.08,75.29,9.26,61.58,147.00
900,80,1565.89,16.54,1549.17,1598.79,1565.16,11.38,1549.46,1582.71,76.16,1.85,74.00,88.79,60.45,2.13,58.50,76.92,642.70,28.79,625.33,881.79,153.57,147.40,84.33,788.04,69.60,7.36,59.17,138.04,150.21,128.41,87.71,755.29,80.52,10.93,65.71,174.08
1000,80,1942.89,20.91,1918.25,1965.54,1933.73,9.35,1918.63,1946.88,83.02,3.25,80.04,122.13,63.42,1.55,62.25,76.42,672.19,26.20,656.04,867.79,161.42,147.34,87.92,791.00,78.70,8.62,65.58,145.58,180.67,153.20,96.29,850.58,89.70,11.60,74.63,279.96
2000,80,7816.49,45.98,7765.63,7932.71,7877.39,25.62,7854.54,7937.83,166.65,10.80,161.46,328.04,132.85,9.79,128.29,297.79,1037.68,45.55,1003.25,1326.71,256.49,159.37,135.54,839.83,152.31,39.07,121.13,473.92,224.49,154.72,134.58,844.79,150.80,29.86,132.13,432.75
3000,80,17581.45,271.69,17424.75,18286.29,17602.26,129.17,17483.17,17910.83,259.08,20.95,250.00,446.33,210.73,21.52,201.88,428.96,1309.60,56.56,1268.71,1612.58,355.80,179.91,185.79,1053.42,222.35,49.53,182.83,570.58,305.80,163.97,175.00,924.13,220.67,41.93,195.96,515.38
