n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
700,60,1903.49,99.90,1851.20,2178.10,1872.11,7.85,1865.00,1890.20,50.42,2.32,48.90,72.50,46.37,2.06,45.30,71.70,762.70,20.55,750.60,886.80,147.17,107.25,60.40,616.70,85.83,11.18,77.10,201.70,121.13,101.24,60.80,554.60,61.27,9.26,51.40,171.40
800,60,2469.22,7.22,2462.80,2487.10,2516.89,115.66,2474.10,2845.50,58.18,1.84,56.90,92.60,54.03,1.12,53.00,65.00,826.07,26.99,808.40,983.80,177.22,109.28,67.50,691.00,91.14,10.01,82.10,201.10,127.07,101.84,66.20,591.90,69.66,11.28,64.10,172.50
900,60,3143.35,24.91,3126.20,3192.80,3140.25,11.54,3119.00,3166.10,67.47,2.26,66.00,109.30,63.26,2.69,61.80,107.60,879.13,25.88,865.40,1032.30,204.69,108.93,74.80,694.20,112.85,16.55,91.30,231.20,160.34,103.42,74.80,609.20,74.79,11.43,70.10,192.00
1000,60,3779.21,13.49,3768.90,3809.00,3793.70,12.21,3780.70,3817.40,74.58,6.17,72.50,156.90,69.41,2.78,67.80,121.20,938.50,33.22,918.10,1134.70,229.47,101.03,86.00,693.10,117.15,12.25,94.80,234.20,190.03,108.86,81.80,704.80,81.87,13.34,75.80,199.40
2000,60,15675.48,414.51,15369.60,16704.80,15095.65,336.85,14852.40,15964.20,152.72,10.15,149.00,253.70,142.55,8.61,139.70,242.40,1393.41,37.41,1369.80,1554.00,328.28,117.47,218.10,896.10,194.41,25.58,172.00,344.90,298.40,119.20,210.40,862.40,159.07,25.92,139.60,335.80
3000,60,38288.42,487.25,37681.50,39112.30,37085.61,75.69,36963.50,37268.80,239.35,15.72,233.20,378.40,225.82,18.73,219.40,359.40,1801.02,49.34,1772.70,2245.70,383.33,128.58,270.90,966.90,276.63,37.52,238.00,489.60,345.24,127.01,259.40,943.40,244.94,34.95,211.30,443.30
4000,60,68341.34,366.86,67862.70,68863.60,68232.24,127.14,68123.20,68560.30,328.66,17.53,322.00,449.70,311.76,18.57,303.90,438.60,2518.31,64.40,2479.50,2907.30,453.94,168.60,324.80,998.60,341.93,45.04,305.40,542.60,427.87,162.27,317.80,999.20,321.63,45.46,290.80,625.40
5000,60,108686.63,146.75,108399.10,108918.40,107653.05,1341.65,105902.10,110507.00,446.60,83.34,414.60,1065.60,437.55,94.45,406.50,1013.50,3126.68,178.86,3012.50,3788.10,498.92,164.45,366.10,1043.60,455.09,102.17,380.60,1085.40,484.36,163.35,369.10,1027.20,427.98,98.17,366.50,1002.70
6000,60,158937.53,2019.28,157819.10,164581.40,156933.87,910.08,155435.50,158688.20,543.44,101.99,497.50,1177.30,514.39,99.72,469.80,1136.20,3453.19,206.37,3320.70,4151.30,550.81,174.56,414.80,1168.70,542.99,127.11,452.20,1223.80,539.46,173.83,412.90,1213.70,509.11,114.31,436.30,1139.80
7000,60,213123.98,1359.16,211362.80,215917.60,211397.02,840.27,209590.70,212775.70,651.78,106.09,595.30,1267.40,626.87,102.86,572.40,1228.10,4048.18,210.40,3840.30,4949.80,653.33,199.16,481.10,1365.60,615.48,130.11,535.10,1376.10,618.88,196.58,469.60,1312.00,585.46,116.74,512.10,1320.80
8000,60,280408.34,2634.95,276257.80,283244.30,280645.00,2911.83,276499.90,286051.60,750.47,135.44,683.30,1476.10,717.25,132.96,651.50,1439.90,4381.80,246.58,4104.40,5297.30,756.04,247.07,520.90,1423.00,709.43,159.40,605.00,1433.50,750.19,247.61,531.80,1423.60,670.65,148.32,578.60,1437.90
9000,60,354361.13,2811.27,350644.60,359156.30,358005.78,2071.12,353465.50,361052.70,847.80,155.59,772.00,1677.70,814.92,147.48,742.00,1557.50,4850.24,332.29,4583.50,5780.20,886.79,312.73,585.10,1761.20,797.34,189.03,665.40,1604.00,881.49,319.67,592.10,1851.20,740.41,159.12,647.00,1578.70
10000,60,440112.11,4301.30,434900.50,449028.90,439633.81,8074.74,432890.20,461878.70,957.60,157.04,881.60,1747.40,924.88,153.55,849.20,1675.20,5276.51,345.34,5041.80,6208.40,937.68,305.98,625.50,1736.40,884.76,191.51,758.40,1732.90,963.22,347.53,643.90,1804.90,837.42,179.87,726.60,1692.20
20000,60,1771844.50,9702.49,1754193.90,1785065.60,1783104.00,9859.95,1769268.90,1799166.70,2074.05,446.36,1853.10,3515.30,2016.12,455.29,1797.30,3283.90,9939.06,293.86,9559.40,11378.30,1912.25,581.31,1221.20,4059.20,1638.75,195.78,1446.00,2340.10,1861.34,568.84,1222.00,4088.10,1597.33,200.07,1418.50,2406.90
30000,60,4282756.28,179726.45,4087630.70,4519209.30,4114086.68,16587.63,4086256.60,4136722.10,3497.79,357.67,3141.10,5518.10,3166.24,243.57,2919.30,4352.30,63650.78,1660.76,61183.40,70671.90,4367.35,3885.13,1941.30,19704.30,2667.66,333.07,2285.20,3860.00,4309.46,3520.45,1997.00,18587.90,2674.90,332.70,2262.00,3736.10
10,70,0.74,0.45,0.50,2.00,0.60,0.00,0.60,0.60,0.89,0.18,0.80,1.60,0.78,0.18,0.70,1.50,1.76,0.29,1.50,2.50,26.32,32.19,10.50,321.40,6.46,1.34,5.10,13.50,22.01,28.76,11.40,303.90,6.61,1.27,4.50,14.90
20,70,2.26,0.91,1.80,4.60,1.91,0.35,1.80,2.90,1.53,0.21,1.40,2.20,1.37,0.20,1.20,2.00,2.78,0.30,2.50,3.50,25.30,34.16,12.70,318.40,7.18,0.98,5.00,13.80,27.24,38.59,13.20,339.60,8.33,1.71,6.30,15.80
30,70,3.93,0.14,3.80,4.30,3.91,0.03,3.90,4.00,2.37,0.16,2.20,2.90,2.12,0.18,1.90,2.70,17.59,0.65,16.90,22.10,32.89,50.37,14.40,342.70,8.09,2.18,5.30,17.60,30.91,46.22,15.20,337.70,10.32,1.54,8.20,16.10
40,70,6.78,0.25,6.70,7.50,6.51,0.21,6.40,7.10,2.95,0.39,2.70,5.80,2.59,0.24,2.40,3.20,21.67,0.73,20.80,26.20,39.82,56.30,17.20,377.70,11.28,2.49,6.20,21.60,38.47,55.63,17.00,367.40,12.08,2.73,6.60,19.80
50,70,10.17,0.26,10.00,10.70,10.68,1.31,10.10,14.40,3.78,0.24,3.50,4.40,3.33,0.24,3.10,3.90,24.07,0.99,23.40,34.40,42.08,61.32,18.10,368.90,12.88,4.06,6.70,22.90,43.78,66.05,18.30,391.40,12.79,2.10,8.30,22.30
60,70,14.37,0.23,14.20,14.80,14.36,0.20,14.20,14.90,4.56,0.25,4.30,5.10,4.01,0.24,3.80,4.60,28.72,0.91,28.00,33.80,45.68,67.14,18.80,387.80,13.91,2.54,9.00,24.60,44.58,67.13,19.60,389.30,14.12,1.75,9.20,21.10
