n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
400,30,1080.43,0.88,1079.43,1081.59,1086.79,6.51,1084.00,1105.19,32.42,1.11,30.98,35.01,30.16,1.00,28.69,32.40,124.90,1.36,121.94,131.88,1563.51,564.87,1280.57,4987.02,97.83,9.80,67.58,125.41,1505.30,425.32,1278.25,3864.55,91.39,8.18,68.06,109.97
500,30,1633.90,32.53,1598.34,1680.65,1595.35,6.74,1591.47,1613.47,38.42,1.39,36.37,42.13,34.43,1.37,32.58,38.76,176.58,2.78,171.91,188.16,1629.02,647.45,1304.74,4442.63,106.53,8.07,91.42,129.17,1519.13,447.12,1283.16,3924.02,98.13,15.20,63.14,129.75
600,30,2425.29,8.23,2420.07,2448.05,2433.42,7.31,2429.35,2453.92,48.71,1.28,46.64,51.58,43.53,1.15,42.12,46.31,713.10,7.74,702.49,748.72,1695.15,781.01,1308.61,5947.36,127.97,6.97,107.47,146.77,1529.50,479.07,1276.52,4101.82,96.15,7.88,74.92,127.03
700,30,3300.28,1.33,3297.97,3302.41,3181.07,33.40,3132.09,3226.22,56.74,1.42,54.49,59.73,47.35,1.37,45.30,51.37,724.72,6.81,717.02,833.90,1753.22,827.09,1318.81,6050.45,122.58,5.96,106.87,139.42,1545.92,504.53,1272.21,4119.82,95.33,11.89,70.27,123.46
800,30,4318.51,0.82,4317.31,4319.85,4328.45,0.65,4327.53,4329.38,64.86,1.33,61.91,68.11,56.81,0.64,56.12,60.44,793.92,11.04,781.34,860.53,1797.00,879.46,1317.18,4796.69,150.01,4.14,139.71,162.93,1572.35,528.88,1291.12,4045.79,119.82,12.46,87.23,167.41
900,30,5413.05,34.54,5347.81,5445.21,5042.56,9.31,5037.59,5068.18,70.87,3.00,65.89,76.53,60.55,0.83,59.17,65.16,861.04,11.56,849.29,933.90,1822.57,903.42,1308.79,5115.53,169.09,9.11,154.04,211.30,1606.04,581.47,1314.30,4266.95,133.17,16.68,102.43,167.63
1000,30,6428.77,154.07,6188.30,6637.23,6197.13,7.77,6185.05,6203.89,74.45,1.90,71.51,79.80,66.79,1.36,65.30,72.61,906.22,13.92,894.41,998.02,1894.82,981.68,1333.87,5116.57,167.04,9.56,150.62,209.76,1633.25,609.87,1303.49,4458.62,136.73,16.59,99.81,173.92
2000,30,25619.41,773.65,24943.98,26851.78,25054.63,104.16,24992.72,25273.87,151.50,3.37,147.93,161.33,137.31,1.73,135.72,147.13,1342.06,41.77,1305.76,1744.20,2397.71,1505.64,1371.78,6232.57,270.94,23.98,202.76,324.29,1855.22,875.30,1347.18,5076.75,215.90,32.50,177.74,301.22
3000,30,55625.04,171.27,55404.99,55870.46,55400.37,202.93,55258.68,55895.77,230.41,5.16,224.57,248.25,208.38,2.48,205.69,225.95,1663.86,46.37,1635.13,2086.52,2577.90,1610.85,1404.97,6488.21,366.11,32.38,282.77,433.63,1976.46,999.28,1367.20,6823.95,295.47,47.07,253.39,455.70
4000,30,100289.61,395.27,99745.55,101137.66,100201.93,994.36,99374.46,102870.24,317.63,8.24,310.25,362.89,290.69,4.28,286.76,315.41,2338.89,61.32,2290.99,2758.07,2713.73,1752.61,1452.93,10935.63,502.79,14.44,418.56,572.33,2101.67,1113.67,1386.68,5593.32,365.79,47.69,321.23,517.63
