n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
30000,10,5124138.33,205427.44,4971415.32,5491967.29,4631030.05,171247.09,4529499.80,4985688.24,2327.67,323.49,2073.70,3546.54,2137.85,249.33,1976.26,3169.32,42682.39,4989.49,39270.93,65077.24,1085.87,471.65,726.98,2376.27,1604.79,169.49,1500.89,2379.80,1046.60,536.04,631.07,2402.14,1637.88,163.51,1512.16,2342.52
10,20,0.50,0.14,0.45,0.91,0.45,0.01,0.45,0.46,0.50,0.08,0.47,0.90,0.44,0.08,0.40,0.82,0.92,0.23,0.77,1.53,388.14,21.63,335.95,446.00,10.99,1.20,7.94,14.29,386.00,21.56,334.90,450.26,11.27,1.82,8.01,16.21
20,20,1.49,0.04,1.42,1.53,1.46,0.01,1.45,1.48,0.91,0.15,0.85,1.83,0.76,0.10,0.69,1.20,2.00,0.18,1.77,2.45,387.03,23.05,336.48,506.19,11.52,1.54,8.01,18.84,389.70,23.07,334.83,494.24,12.37,1.75,9.19,17.84
30,20,3.24,0.09,3.15,3.37,3.42,0.16,3.22,3.78,1.33,0.17,1.23,2.22,1.15,0.12,1.06,1.81,9.38,1.85,8.26,15.90,389.23,25.58,341.23,691.05,11.67,1.55,8.32,17.10,388.10,22.68,338.76,650.83,12.08,1.20,9.51,16.20
40,20,5.76,0.37,5.62,6.80,5.59,0.02,5.57,5.64,1.71,0.21,1.55,2.64,1.51,0.20,1.36,2.17,11.35,0.42,10.64,14.06,392.65,42.58,336.88,833.57,11.93,1.45,8.65,18.71,390.94,27.68,341.81,727.77,13.61,1.34,11.25,18.08
50,20,9.05,0.13,8.98,9.41,8.94,0.04,8.89,9.03,2.20,0.16,2.02,2.90,1.88,0.19,1.70,2.52,11.61,0.37,11.05,14.36,394.27,38.73,340.65,763.19,12.45,1.50,9.19,17.62,390.76,28.15,340.23,716.81,14.64,1.46,11.81,18.25
60,20,12.29,0.46,11.88,13.12,12.77,0.27,11.99,12.91,2.57,0.20,2.38,3.23,2.16,0.18,1.98,2.87,13.67,0.48,13.02,16.92,399.92,48.00,341.16,828.81,11.97,1.57,8.93,16.91,397.69,36.24,344.46,754.58,14.68,1.35,11.64,18.96
70,20,17.74,0.03,17.71,17.78,15.52,0.35,15.37,16.51,2.99,0.22,2.74,4.66,2.54,0.20,2.33,3.13,14.75,0.64,13.67,17.60,397.99,50.19,340.22,821.47,12.95,1.70,9.56,19.48,393.51,36.99,338.15,772.95,15.92,1.55,12.98,19.97
80,20,21.86,1.74,21.19,26.78,19.39,0.03,19.36,19.44,3.41,0.22,3.17,3.98,2.90,0.16,2.67,3.52,16.61,0.81,15.41,20.36,396.95,55.51,337.41,865.75,13.47,1.86,9.89,19.63,390.50,40.74,335.23,779.64,16.88,1.73,13.64,21.96
90,20,28.59,3.80,25.95,38.89,26.88,0.27,26.70,27.60,3.97,0.21,3.70,4.49,3.28,0.18,3.04,3.77,18.04,0.98,16.49,21.49,403.66,64.33,342.10,868.31,14.06,1.77,10.36,19.21,397.26,44.61,337.56,795.40,17.89,1.80,14.35,22.33
100,20,35.06,5.11,31.87,49.24,32.08,1.01,30.59,33.00,4.19,0.22,3.89,4.75,3.55,0.18,3.31,4.03,21.23,9.00,18.29,108.12,404.29,67.12,338.50,887.12,13.92,2.00,10.43,19.82,395.86,46.35,340.45,820.27,18.93,1.88,14.98,23.98
200,20,111.34,4.65,107.67,120.19,113.62,12.06,107.81,146.86,8.23,0.22,7.63,9.63,7.31,0.19,6.85,7.85,34.57,1.56,32.43,39.48,424.37,117.59,347.31,1139.30,16.25,1.42,13.47,20.81,404.75,66.07,342.51,901.86,28.62,2.69,21.87,34.63
300,20,286.81,8.22,281.20,300.72,659.29,535.26,259.03,1454.95,12.63,0.45,11.72,13.91,10.92,0.51,9.92,13.43,48.78,2.29,45.59,56.60,433.66,128.54,349.96,1093.87,18.74,1.22,16.13,24.41,416.51,84.81,350.26,956.35,35.84,3.11,26.68,43.95
400,20,486.33,1.24,484.88,488.22,491.44,6.15,486.37,501.26,17.01,0.65,15.56,19.62,14.22,0.42,13.02,16.64,63.52,2.38,58.85,70.76,448.55,152.16,345.89,1198.07,24.91,4.45,19.53,40.21,420.11,92.00,345.57,1014.35,42.61,3.21,34.23,56.19
500,20,737.57,24.78,713.31,766.70,757.12,23.76,710.76,775.91,21.15,0.88,19.91,23.76,18.01,0.79,16.66,20.55,110.06,4.01,105.20,122.31,464.54,192.40,349.08,1576.27,24.41,1.27,22.20,33.42,423.35,103.94,347.52,1119.46,48.97,3.38,36.46,62.84
600,20,1067.69,37.36,1025.67,1103.10,1061.62,45.54,1014.52,1114.59,27.42,13.04,24.31,143.05,21.98,0.90,20.53,24.78,186.56,7.54,177.03,205.54,478.82,206.89,349.97,1680.74,33.20,7.39,25.72,109.14,430.42,107.53,345.04,1068.30,54.10,4.37,38.37,67.29
